,char
6500,訾
6501,詁
6502,詆
6503,詈
6504,詎
6505,詐
6506,詑
6507,詒
6508,詔
6509,評
6510,詗
6511,詘
6512,詛
6513,詞
6514,詠
6515,詡
6516,詢
6517,詣
6518,試
6519,詨
6520,詩
6521,詫
6522,詬
6523,詭
6524,詮
6525,詰
6526,話
6527,該
6528,詳
6529,詵
6530,詹
6531,詼
6532,誄
6533,誅
6534,誇
6535,誌
6536,認
6537,誑
6538,誓
6539,誕
6540,誖
6541,誘
6542,誚
6543,語
6544,誠
6545,誡
6546,誣
6547,誤
6548,誥
6549,誦
6550,誨
6551,說
6552,誰
6553,課
6554,誵
6555,誶
6556,誹
6557,誼
6558,誾
6559,調
6560,諂
6561,諄
6562,談
6563,請
6564,諍
6565,諏
6566,諒
6567,諕
6568,論
6569,諗
6570,諛
6571,諜
6572,諝
6573,諠
6574,諡
6575,諢
6576,諤
6577,諦
6578,諧
6579,諫
6580,諭
6581,諱
6582,諲
6583,諳
6584,諴
6585,諶
6586,諷
6587,諸
6588,諺
6589,諼
6590,諾
6591,謀
6592,謁
6593,謂
6594,謄
6595,謇
6596,謌
6597,謎
6598,謏
6599,謐
6600,謔
6601,謖
6602,謗
6603,謙
6604,謚
6605,講
6606,謝
6607,謠
6608,謡
6609,謦
6610,謨
6611,謩
6612,謫
6613,謬
6614,謳
6615,謹
6616,謼
6617,謾
6618,譁
6619,證
6620,譊
6621,譌
6622,譍
6623,譎
6624,譏
6625,譔
6626,譖
6627,識
6628,譙
6629,譚
6630,譜
6631,譟
6632,警
6633,譬
6634,譯
6635,議
6636,譲
6637,譴
6638,護
6639,譽
6640,讀
6641,變
6642,讋
6643,讌
6644,讎
6645,讐
6646,讒
6647,讓
6648,讖
6649,讙
6650,讚
6651,讜
6652,谷
6653,谺
6654,谼
6655,谽
6656,谿
6657,豁
6658,豅
6659,豆
6660,豈
6661,豉
6662,豊
6663,豌
6664,豎
6665,豏
6666,豐
6667,豓
6668,豔
6669,豕
6670,豗
6671,豚
6672,豜
6673,象
6674,豢
6675,豨
6676,豩
6677,豪
6678,豫
6679,豬
6680,豭
6681,豳
6682,豶
6683,豸
6684,豹
6685,豺
6686,貂
6687,貅
6688,貈
6689,貉
6690,貊
6691,貌
6692,貍
6693,貎
6694,貓
6695,貔
6696,貙
6697,貛
6698,貝
6699,貞
6700,負
6701,財
6702,貢
6703,貧
6704,貨
6705,販
6706,貪
6707,貫
6708,責
6709,貯
6710,貰
6711,貲
6712,貳
6713,貴
6714,貶
6715,買
6716,貸
6717,貺
6718,費
6719,貼
6720,貽
6721,貿
6722,賀
6723,賁
6724,賂
6725,賃
6726,賄
6727,資
6728,賈
6729,賊
6730,賑
6731,賒
6732,賓
6733,賖
6734,賚
6735,賛
6736,賜
6737,賞
6738,賡
6739,賢
6740,賣
6741,賤
6742,賦
6743,賨
6744,質
6745,賫
6746,賭
6747,賴
6748,賷
6749,賸
6750,賺
6751,賻
6752,購
6753,賽
6754,賾
6755,贄
6756,贅
6757,贈
6758,贊
6759,贋
6760,贍
6761,贏
6762,贐
6763,贓
6764,贔
6765,贖
6766,贗
6767,贛
6768,贜
6769,赍
6770,赤
6771,赦
6772,赧
6773,赩
6774,赫
6775,赬
6776,赭
6777,走
6778,赳
6779,赴
6780,起
6781,趁
6782,趂
6783,趄
6784,超
6785,越
6786,趍
6787,趐
6788,趒
6789,趕
6790,趙
6791,趠
6792,趣
6793,趦
6794,趨
6795,趫
6796,趯
6797,趲
6798,足
6799,趵
6800,趺
6801,趼
6802,趾
6803,趿
