,char
0,㑹
1,㒿
2,㕙
3,㕮
4,㖀
5,㖃
6,㘆
7,㘱
8,㙠
9,㛹
10,㜮
11,㜷
12,㝵
13,㟍
14,㟳
15,㠔
16,㠹
17,㢝
18,㢮
19,㦬
20,㦸
21,㨫
22,㩦
23,㩧
24,㫋
25,㫙
26,㫝
27,㬉
28,㬊
29,㬋
30,㮬
31,㮰
32,㰕
33,㲉
34,㲲
35,㴩
36,㵳
37,㶁
38,㶿
39,㸃
40,㸌
41,㹠
42,㺍
43,㾓
44,㾪
45,㿉
46,㿋
47,䁭
48,䃣
49,䄠
50,䄩
51,䅉
52,䆉
53,䆗
54,䆿
55,䈻
56,䉲
57,䊶
58,䋏
59,䌨
60,䍙
61,䍦
62,䍧
63,䍽
64,䎳
65,䒠
66,䒶
67,䔄
68,䔩
69,䔲
70,䔿
71,䕠
72,䕡
73,䕷
74,䕸
75,䖃
76,䖴
77,䙀
78,䙰
79,䛏
80,䟫
81,䠞
82,䠥
83,䡾
84,䤙
85,䨴
86,䩋
87,䩫
88,䪓
89,䪥
90,䫌
91,䭀
92,䭃
93,䭔
94,䯲
95,䰀
96,䰐
97,䰒
98,䱥
99,䱹
100,䳏
101,䳰
102,䴏
103,䴠
104,䴥
105,䴮
106,一
107,丁
108,七
109,丈
110,三
111,上
112,下
113,不
114,丏
115,丐
116,丑
117,且
118,丕
119,世
120,丘
121,丙
122,丞
123,両
124,两
125,並
126,个
127,丫
128,中
129,丰
130,丱
131,串
132,丸
133,丹
134,主
135,丿
136,乂
137,乃
138,久
139,么
140,义
141,之
142,乍
143,乎
144,乏
145,乖
146,乘
147,乙
148,九
149,乞
150,也
151,乳
152,乾
153,亁
154,亂
155,了
156,予
157,争
158,亊
159,事
160,二
161,于
162,云
163,互
164,五
165,井
166,亘
167,亙
168,些
169,亞
170,亟
171,亡
172,亢
173,交
174,亥
175,亦
176,亨
177,享
178,京
179,亭
180,亮
181,亳
182,亶
183,亷
184,亸
185,亹
186,人
187,亾
188,什
189,仁
190,仃
191,仄
192,仆
193,仇
194,今
195,介
196,仍
197,仔
198,仕
199,他
200,仗
201,付
202,仙
203,仝
204,仞
205,代
206,令
207,以
208,仭
209,仰
210,仲
211,件
212,任
213,仿
214,企
215,伉
216,伊
217,伋
218,伍
219,伎
220,伏
221,伐
222,休
223,伯
224,估
225,伴
226,伶
227,伸
228,伺
229,伻
230,似
231,伽
232,伾
233,佃
234,但
235,佇
236,佈
237,佉
238,位
239,低
240,住
241,佐
242,佑
243,体
244,佔
245,何
246,佗
247,余
248,佚
249,佛
250,作
251,佝
252,佞
253,你
254,佩
255,佪
256,佯
257,佳
258,併
259,佺
260,佻
261,佼
262,佽
263,佾
264,使
265,侁
266,侂
267,侃
268,侄
269,侅
270,來
271,侈
272,例
273,侍
274,侏
275,侑
276,侔
277,侖
278,侗
279,供
280,依
281,侣
282,侮
283,侯
284,侵
285,侶
286,便
287,俀
288,俁
289,係
290,促
291,俄
292,俊
293,俎
294,俏
295,俐
296,俑
297,俗
298,俘
299,俙
300,俚
301,俛
302,俜
303,保
304,俞
305,俟
306,俠
307,信
308,俩
309,修
310,俯
311,俱
312,俳
313,俵
314,俶
315,俸
316,俺
317,俾
318,倀
319,倂
320,倅
321,倆
322,倉
323,個
324,倍
325,倏
326,倐
327,倒
328,倔
329,倖
330,倘
331,候
332,倚
333,倛
334,倜
335,借
336,倡
337,倢
338,倣
339,倥
340,倦
341,倨
342,倩
343,倪
344,倫
345,倭
346,倮
347,倴
348,值
349,偃
350,假
351,偈
352,偉
353,偊
354,偎
355,偏
356,偓
357,偕
358,做
359,停
360,健
361,偪
362,偲
363,側
364,偶
365,偷
366,偽
367,傀
368,傁
369,傃
370,傅
371,傍
372,傑
373,傒
374,傔
375,傖
376,傘
377,備
378,傚
379,傞
380,傪
381,催
382,傭
383,傯
384,傲
385,傳
386,傴
387,債
388,傷
389,傾
390,僂
391,僅
392,僉
393,僊
394,僎
395,像
396,僑
397,僕
398,僖
399,僚
400,僛
401,僝
402,僞
403,僣
404,僥
405,僦
406,僧
407,僬
408,僭
409,僮
410,僰
411,僵
412,價
413,僻
414,僽
415,僾
416,儀
417,儁
418,儂
419,億
420,儆
421,儇
422,儈
423,儉
424,儋
425,儒
426,儔
427,儕
428,儗
429,儘
430,儜
431,償
432,儡
433,儤
434,優
435,儱
436,儲
437,儳
438,儵
439,儷
440,儸
441,儺
442,儻
443,儼
444,兀
445,允
446,元
447,兄
448,充
449,兆
450,兇
451,先
452,光
453,克
454,兌
455,免
456,児
457,兑
458,兒
459,兔
460,兕
461,兖
462,兗
463,党
464,兜
465,兢
466,入
467,內
468,全
469,兩
470,八
471,公
472,六
473,兮
474,共
475,兵
476,其
477,具
478,典
479,兹
480,兼
481,冀
482,冉
483,冊
484,册
485,再
486,冏
487,冐
488,冒
489,冕
490,冗
491,冞
492,冠
493,冢
494,冤
495,冥
496,冨
497,冩
498,冪
499,冬
500,冰
501,冲
502,决
503,况
504,冶
505,冷
506,冽
507,净
508,凂
509,凄
510,准
511,凇
512,凈
513,凉
514,凊
515,凋
516,凌
517,凍
518,减
519,凖
520,凘
521,凛
522,凜
523,凝
524,几
525,凡
526,凭
527,凰
528,凱
529,凳
530,凴
531,凶
532,凸
