,char,tone,rime,ipa,tone_class
0,㑹,,,,
0,㕙,平,諄,tshwin,L
0,㕮,上,麌,pju,X
0,㖀,,,,
0,㖃,上,厚,huw,X
0,㘆,上,海,thoj,X
0,㘱,平,談,tham,L
0,㙠,平,齊,'ej,L
0,㛹,平,仙A,bjien,L
0,㜮,去,闞,lam,H
0,㜷,平,支A,mjie,L
0,㝵,去,代,ngoj,H
0,㟍,平,唐,lang,L
0,㟳,入,質,lit,E
0,㠔,去,卦,pea,H
0,㠹,去,怪,keaj,H
0,㢝,平,模,su,L
0,㢮,,,,
0,㦬,上,哿,la,X
0,㦸,入,陌,kjaek,E
0,㨫,平,談,lam,L
0,㩦,,,,
0,㩧,入,覺,baewk,E
0,㫋,,,,
0,㫙,,,,
0,㫝,,,,
0,㬉,上,緩,nwan,X
0,㬊,上,緩,hwan,X
0,㬋,,,,
0,㮬,平,東,'uwng,L
0,㮰,平,脂A,bjij,L
0,㰕,,,,
0,㲉,入,屋,khuwk,E
0,㲲,入,怗,dep,E
0,㴩,,,,
0,㵳,,,,
0,㶁,入,陌,kwaek,E
0,㶿,入,沒,bwot,E
0,㸃,,,,
0,㸌,,,,
0,㹠,平,魂,dwon,L
0,㺍,平,眞A,bjin,L
0,㾓,平,先,'wen,L
0,㾪,上,梗,srjaeng,X
0,㿉,平,灰,dwoj,L
0,㿋,去,号,saw,H
0,䁭,,,,
0,䄠,去,線,dzyen,H
0,䄩,入,職,yik,E
0,䅉,去,禡,'ae,H
0,䆉,,,,
0,䆗,,,,
0,䆿,去,祭A,ngjiej,H
0,䈻,平,模,bu,L
0,䉲,,,,
0,䊶,,,,
0,䋏,入,鐸,dzak,E
0,䌨,入,曷,tshat,E
0,䍙,平,灰,mwoj,L
0,䍦,平,支,lje,L
0,䍧,平,唐,tsang,L
0,䍽,入,錫,lek,E
0,䎳,入,黠,ngwaet,E
0,䒠,,,,
0,䒶,平,先,then,L
0,䔄,平,宵,yew,L
0,䔩,,,,
0,䔲,平,登,tong,L
0,䔿,上,混,tswon,X
0,䕠,,,,
0,䕡,平,魚,ljo,L
0,䕷,,,,
0,䕸,平,皆,keaj,L
0,䖃,入,藥,yak,E
0,䖴,,,,
0,䙀,,,,
0,䙰,,,,
0,䛏,聲,三霽,,逸
0,䟫,平,庚,draeng,L
0,䠥,,,,
0,䡾,入,曷,ngat,E
0,䤙,入,錫,lek,E
0,䨴,去,隊,dwoj,H
0,䩋,,,,
0,䩫,,,,
0,䪓,,,,
0,䪥,去,怪,heaj,H
0,䫌,上,薺,phej,X
0,䭀,聲,八真,,逸
0,䭃,上,寑,nyim,X
0,䭔,平,灰,twoj,L
0,䯲,,,,
0,䰀,,,,
0,䰐,平,談,lam,L
0,䰒,平,東,muwng,L
0,䱥,去,祭,tsyej,H
0,䱹,聲,十五禡,,逸
0,䳏,去,霽,kwej,H
0,䳰,,,,
0,䴏,,,,
0,䴠,上,晧,'aw,X
0,䴥,平,麻,kae,L
0,䴮,去,諫,sraen,H
0,一,入,質A,'jit,E
0,丁,平,耕,treang,L
0,七,入,質,tshit,E
0,丈,上,養,drjang,X
0,三,平,談,sam,L
0,上,上,養,dzyang,X
0,下,上,馬,hae,X
0,不,平,尤,pjuw,L
0,丏,上,銑,men,X
0,丐,去,泰,kaj,H
0,丑,上,有,trhjuw,X
0,且,平,魚,tsjo,L
0,丕,平,脂B,phij,L
0,世,去,祭,syej,H
0,丘,平,尤,khjuw,L
0,丙,上,梗,pjaeng,X
0,丞,平,蒸,dzying,L
0,両,上,養,ljang,X
0,两,上,養,ljang,X
0,並,平,清A,pjieng,L
0,个,去,箇,ka,H
0,丫,平,麻,'ae,L
0,中,平,東,trjuwng,L
0,丰,平,東,phjuwng,L
0,丱,上,梗,hwaeng,X
0,串,去,諫,kwaen,H
0,丸,平,桓,hwan,L
0,丹,平,寒,tan,L
0,主,上,麌,tsyu,X
0,丿,去,祭,yej,H
0,乂,去,廢,ngjoj,H
0,乃,上,海,noj,X
0,久,上,有,kjuw,X
0,么,平,蕭,'ew,L
0,义,去,寘B,ngje,H
0,之,平,之,tsyi,L
