,char,tone,rime,ipa,tone_class,pinyin,jyutping,hangul,rime_index,meter_class
0,㕙,平,諄,tshwin,L,jùn,㕙,준,6,1
1,㕮,上,麌,pju,X,fǔ,㕮,부,4,0
2,㖃,上,厚,huw,X,hǒu,㖃,후,14,0
3,㘆,上,海,thoj,X,tái,㘆,대,5,0
4,㘱,平,談,tham,L,㘱,㘱,담,16,1
5,㙠,平,齊,'ej,L,yì,㙠,예,5,1
6,㛹,平,仙,bjien,L,pián,㛹,변,7,1
7,㜮,去,闞,lam,H,làn,㜮,남,16,0
8,㜷,平,支,mjie,L,mí,㜷,미,3,1
9,㝵,去,代,ngoj,H,dé,㝵,애,5,0
10,㟍,平,唐,lang,L,láng,㟍,낭,11,1
11,㟳,入,質,lit,E,lì,㟳,율,6,0
12,㠔,去,卦,pea,H,bài,㠔,배,5,0
13,㠹,去,怪,keaj,H,jiè,㠹,개,5,0
14,㢝,平,模,su,L,㢝,㢝,소,4,1
15,㦬,上,哿,la,X,luǒ,㦬,나,9,0
16,㦸,入,陌,kjaek,E,jǐ,㦸,극,12,0
17,㨫,平,談,lam,L,lǎn,㨫,남,16,1
18,㩧,入,覺,baewk,E,bó,㩧,박,2,0
19,㬉,上,緩,nwan,X,nuǎn,㬉,난,7,0
20,㬊,上,緩,hwan,X,huǎn,㬊,환,7,0
21,㮬,平,東,'uwng,L,㮬,㮬,옹,1,1
22,㮰,平,脂,bjij,L,bí,㮰,비,3,1
23,㲉,入,屋,khuwk,E,kài,㲉,각,1,0
24,㲲,入,怗,dep,E,dié,㲲,첩,16,0
25,㶁,入,陌,kwaek,E,guó,㶁,괵,12,0
26,㶿,入,沒,bwot,E,bó,㶿,발,6,0
27,㹠,平,魂,dwon,L,tún,㹠,돈,6,1
28,㺍,平,眞,bjin,L,㺍,㺍,빈,6,1
29,㾓,平,先,'wen,L,㾓,㾓,연,7,1
30,㾪,上,梗,srjaeng,X,shěng,㾪,성,12,0
31,㿉,平,灰,dwoj,L,túi,㿉,퇴,5,1
32,㿋,去,号,saw,H,sào,㿋,소,8,0
33,䄠,去,線,dzyen,H,shàn,䄠,선,7,0
34,䄩,入,職,yik,E,náo,䄩,익,13,0
35,䅉,去,禡,'ae,H,yà,䅉,아,10,0
36,䆿,去,祭,ngjiej,H,yì,䆿,예,5,0
37,䈻,平,模,bu,L,pú,䈻,포,4,1
38,䋏,入,鐸,dzak,E,zuò,䋏,작,11,0
39,䌨,入,曷,tshat,E,cài,䌨,채,7,0
40,䍙,平,灰,mwoj,L,méi,䍙,매,5,1
41,䍦,平,支,lje,L,lí,䍦,이,3,1
42,䍧,平,唐,tsang,L,䍧,䍧,장,11,1
43,䍽,入,錫,lek,E,lì,䍽,역,12,0
44,䎳,入,黠,ngwaet,E,wà,䎳,월,7,0
45,䒶,平,先,then,L,䒶,䒶,천,7,1
46,䔄,平,宵,yew,L,yáo,䔄,요,8,1
47,䔲,平,登,tong,L,chéng,䔲,등,13,1
48,䔿,上,混,tswon,X,jiè,䔿,준,6,0
49,䕡,平,魚,ljo,L,lǔ,䕡,여,4,1
50,䕸,平,皆,keaj,L,䕸,䕸,할,5,1
51,䖃,入,藥,yak,E,yuè,䖃,약,11,0
52,䟫,平,庚,draeng,L,䟫,䟫,쟁,12,1
53,䡾,入,曷,ngat,E,nèi,䡾,얼,7,0
54,䤙,入,錫,lek,E,lì,䤙,역,12,0
55,䨴,去,隊,dwoj,H,dùi,䨴,대,5,0
56,䪥,去,怪,heaj,H,dié,䪥,해,5,0
57,䫌,上,薺,phej,X,pǐ,䫌,비,5,0
58,䭃,上,寑,nyim,X,rěn,䭃,임,15,0
59,䭔,平,灰,twoj,L,䭔,䭔,퇴,5,1
60,䰐,平,談,lam,L,lán,䰐,남,16,1
61,䰒,平,東,muwng,L,méng,䰒,몽,1,1
62,䱥,去,祭,tsyej,H,zhí,䱥,제,5,0
63,䳏,去,霽,kwej,H,gùi,䳏,규,5,0
64,䴠,上,晧,'aw,X,yǎo,䴠,오,8,0
65,䴥,平,麻,kae,L,䴥,䴥,가,10,1
66,䴮,去,諫,sraen,H,shàn,䴮,산,7,0
67,一,入,質,'jit,E,yī,jat1,일,6,0
68,丁,平,耕,treang,L,dīng,ding1,정,12,1
69,七,入,質,tshit,E,qī,cat1,칠,6,0
70,丈,上,養,drjang,X,zhàng,zoeng6,장,11,0
71,三,平,談,sam,L,sān,saam1,삼,16,1
72,上,上,養,dzyang,X,shàng,soeng6,상,11,0
73,下,上,馬,hae,X,xià,haa6,하,10,0
74,不,平,尤,pjuw,L,bù,bat1,불,14,1
75,丏,上,銑,men,X,miǎn,min5,면,7,0
76,丐,去,泰,kaj,H,gài,koi3,개,5,0
77,丑,上,有,trhjuw,X,chǒu,cau2,축,14,0
78,且,平,魚,tsjo,L,qiě,ce2,차,4,1
79,丕,平,脂,phij,L,pī,pei1,비,3,1
80,世,去,祭,syej,H,shì,sai3,세,5,0
81,丘,平,尤,khjuw,L,qīu,jau1,구,14,1
82,丙,上,梗,pjaeng,X,bǐng,bing2,병,12,0
83,丞,平,蒸,dzying,L,chéng,sing4,승,13,1
84,両,上,養,ljang,X,liǎng,loeng2,양,11,0
85,两,上,養,ljang,X,liǎng,loeng5,양,11,0
86,並,平,清,pjieng,L,bìng,bing6,병,12,1
87,个,去,箇,ka,H,gè,go3,개,9,0
88,丫,平,麻,'ae,L,yā,aa1,아,10,1
89,中,平,東,trjuwng,L,zhōng,zung1,중,1,1
90,丰,平,東,phjuwng,L,fēng,fung1,봉,1,1
91,丱,上,梗,hwaeng,X,guàn,gwaan3,관,12,0
92,串,去,諫,kwaen,H,chuàn,cyun3,관,7,0
93,丸,平,桓,hwan,L,wán,jyun4,환,7,1
94,丹,平,寒,tan,L,dān,daan1,단,7,1
95,主,上,麌,tsyu,X,zhǔ,zyu2,주,4,0
96,丿,去,祭,yej,H,piě,pit3,별,5,0
97,乂,去,廢,ngjoj,H,yì,ngaai6,예,5,0
98,乃,上,海,noj,X,nǎi,naai5,내,5,0
99,久,上,有,kjuw,X,jǐu,gau2,구,14,0
100,么,平,蕭,'ew,L,yāo,maa1,요,8,1
101,义,去,寘,ngje,H,yì,ji6,의,3,0
102,之,平,之,tsyi,L,zhī,zi1,지,3,1
103,乍,去,禡,dzrae,H,zhà,zaa3,사,10,0
104,乎,平,模,hu,L,hū,fu4,호,4,1
105,乏,入,乏,bjop,E,fá,fat6,핍,16,0
106,乖,平,皆,kweaj,L,guāi,gwaai1,괴,5,1
107,乘,平,蒸,zying,L,chéng,sing4,승,13,1
108,乙,入,質,'it,E,yǐ,jyut3,을,6,0
