,char,tone,rime,ipa,tone_class,pinyin,jyutping,hangul
0,㑹,,,,,hùi,㑹,회
0,㕙,平,諄,tshwin,L,jùn,㕙,준
0,㕮,上,麌,pju,X,fǔ,㕮,부
0,㖀,,,,,lè,㖀,율
0,㖃,上,厚,huw,X,hǒu,㖃,후
0,㘆,上,海,thoj,X,tái,㘆,대
0,㘱,平,談,tham,L,㘱,㘱,담
0,㙠,平,齊,'ej,L,yì,㙠,예
0,㛹,平,仙A,bjien,L,pián,㛹,변
0,㜮,去,闞,lam,H,làn,㜮,남
0,㜷,平,支A,mjie,L,mí,㜷,미
0,㝵,去,代,ngoj,H,dé,㝵,애
0,㟍,平,唐,lang,L,láng,㟍,낭
0,㟳,入,質,lit,E,lì,㟳,율
0,㠔,去,卦,pea,H,bài,㠔,배
0,㠹,去,怪,keaj,H,jiè,㠹,개
0,㢝,平,模,su,L,㢝,㢝,소
0,㢮,,,,,chí,㢮,이
0,㦬,上,哿,la,X,luǒ,㦬,나
0,㦸,入,陌,kjaek,E,jǐ,㦸,극
0,㨫,平,談,lam,L,lǎn,㨫,남
0,㩦,,,,,xié,㩦,휴
0,㩧,入,覺,baewk,E,bó,㩧,박
0,㫋,,,,,㫋,㫋,전
0,㫙,,,,,fú,㫙,부
0,㫝,,,,,㫝,㫝,저
0,㬉,上,緩,nwan,X,nuǎn,㬉,난
0,㬊,上,緩,hwan,X,huǎn,㬊,환
0,㬋,,,,,hóu,㬋,후
0,㮬,平,東,'uwng,L,㮬,㮬,옹
0,㮰,平,脂A,bjij,L,bí,㮰,비
0,㰕,,,,,㰕,㰕,희
0,㲉,入,屋,khuwk,E,kài,㲉,각
0,㲲,入,怗,dep,E,dié,㲲,첩
0,㴩,,,,,㴩,㴩,옹
0,㵳,,,,,liáo,㵳,요
0,㶁,入,陌,kwaek,E,guó,㶁,괵
0,㶿,入,沒,bwot,E,bó,㶿,발
0,㸃,,,,,diǎn,㸃,점
0,㸌,,,,,huò,㸌,곽
0,㹠,平,魂,dwon,L,tún,㹠,돈
0,㺍,平,眞A,bjin,L,㺍,㺍,빈
0,㾓,平,先,'wen,L,㾓,㾓,연
0,㾪,上,梗,srjaeng,X,shěng,㾪,성
0,㿉,平,灰,dwoj,L,túi,㿉,퇴
0,㿋,去,号,saw,H,sào,㿋,소
0,䁭,,,,,䁭,䁭,표
0,䄠,去,線,dzyen,H,shàn,䄠,선
0,䄩,入,職,yik,E,náo,䄩,익
0,䅉,去,禡,'ae,H,yà,䅉,아
0,䆉,,,,,bà,䆉,파
0,䆗,,,,,jiào,䆗,요
0,䆿,去,祭A,ngjiej,H,yì,䆿,예
0,䈻,平,模,bu,L,pú,䈻,포
0,䉲,,,,,biè,䉲,미
0,䊶,,,,,zhèn,䊶,진
0,䋏,入,鐸,dzak,E,zuò,䋏,작
0,䌨,入,曷,tshat,E,cài,䌨,채
0,䍙,平,灰,mwoj,L,méi,䍙,매
0,䍦,平,支,lje,L,lí,䍦,이
0,䍧,平,唐,tsang,L,䍧,䍧,장
0,䍽,入,錫,lek,E,lì,䍽,역
0,䎳,入,黠,ngwaet,E,wà,䎳,월
0,䒠,,,,,fǎn,䒠,봉
0,䒶,平,先,then,L,䒶,䒶,천
0,䔄,平,宵,yew,L,yáo,䔄,요
0,䔩,,,,,䔩,䔩,속
0,䔲,平,登,tong,L,chéng,䔲,등
0,䔿,上,混,tswon,X,jiè,䔿,준
0,䕠,,,,,fèi,䕠,폐
0,䕡,平,魚,ljo,L,lǔ,䕡,여
0,䕷,,,,,mí,䕷,미
0,䕸,平,皆,keaj,L,䕸,䕸,할
0,䖃,入,藥,yak,E,yuè,䖃,약
0,䖴,,,,,yáo,䖴,요
0,䙀,,,,,běng,䙀,팽
0,䙰,,,,,lí,䙰,이
0,䛏,聲,三霽,,逸,ní,䛏,이
0,䟫,平,庚,draeng,L,䟫,䟫,쟁
0,䠥,,,,,bié,䠥,별
0,䡾,入,曷,ngat,E,nèi,䡾,얼
0,䤙,入,錫,lek,E,lì,䤙,역
0,䨴,去,隊,dwoj,H,dùi,䨴,대
0,䩋,,,,,mǒ,䩋,마
0,䩫,,,,,liǎng,䩫,양
0,䪓,,,,,䪓,䪓,접
0,䪥,去,怪,heaj,H,dié,䪥,해
0,䫌,上,薺,phej,X,pǐ,䫌,비
0,䭀,聲,八真,,逸,xùn,䭀,신
0,䭃,上,寑,nyim,X,rěn,䭃,임
0,䭔,平,灰,twoj,L,䭔,䭔,퇴
0,䯲,,,,,pá,䯲,파
0,䰀,,,,,wǒ,䰀,와
0,䰐,平,談,lam,L,lán,䰐,남
0,䰒,平,東,muwng,L,méng,䰒,몽
0,䱥,去,祭,tsyej,H,zhí,䱥,제
0,䱹,聲,十五禡,,逸,nà,䱹,차
0,䳏,去,霽,kwej,H,gùi,䳏,규
0,䳰,,,,,bǎo,䳰,보
0,䴏,,,,,yàn,䴏,연
0,䴠,上,晧,'aw,X,yǎo,䴠,오
0,䴥,平,麻,kae,L,䴥,䴥,가
0,䴮,去,諫,sraen,H,shàn,䴮,산
0,一,入,質A,'jit,E,yī,jat1,일
0,丁,平,耕,treang,L,dīng,ding1,정
0,七,入,質,tshit,E,qī,cat1,칠
0,丈,上,養,drjang,X,zhàng,zoeng6,장
0,三,平,談,sam,L,sān,saam1,삼
0,上,上,養,dzyang,X,shàng,soeng6,상
0,下,上,馬,hae,X,xià,haa6,하
0,不,平,尤,pjuw,L,bù,bat1,불
0,丏,上,銑,men,X,miǎn,min5,면
0,丐,去,泰,kaj,H,gài,koi3,개
0,丑,上,有,trhjuw,X,chǒu,cau2,축
0,且,平,魚,tsjo,L,qiě,ce2,차
0,丕,平,脂B,phij,L,pī,pei1,비
0,世,去,祭,syej,H,shì,sai3,세
0,丘,平,尤,khjuw,L,qīu,jau1,구
0,丙,上,梗,pjaeng,X,bǐng,bing2,병
0,丞,平,蒸,dzying,L,chéng,sing4,승
0,両,上,養,ljang,X,liǎng,loeng2,양
0,两,上,養,ljang,X,liǎng,loeng5,양
0,並,平,清A,pjieng,L,bìng,bing6,병
0,个,去,箇,ka,H,gè,go3,개
0,丫,平,麻,'ae,L,yā,aa1,아
0,中,平,東,trjuwng,L,zhōng,zung1,중
0,丰,平,東,phjuwng,L,fēng,fung1,봉
0,丱,上,梗,hwaeng,X,guàn,gwaan3,관
0,串,去,諫,kwaen,H,chuàn,cyun3,관
0,丸,平,桓,hwan,L,wán,jyun4,환
0,丹,平,寒,tan,L,dān,daan1,단
0,主,上,麌,tsyu,X,zhǔ,zyu2,주
0,丿,去,祭,yej,H,piě,pit3,별
0,乂,去,廢,ngjoj,H,yì,ngaai6,예
0,乃,上,海,noj,X,nǎi,naai5,내
0,久,上,有,kjuw,X,jǐu,gau2,구
0,么,平,蕭,'ew,L,yāo,maa1,요
0,义,去,寘B,ngje,H,yì,ji6,의
0,之,平,之,tsyi,L,zhī,zi1,지
0,乍,去,禡,dzrae,H,zhà,zaa3,사
0,乎,平,模,hu,L,hū,fu4,호
0,乏,入,乏,bjop,E,fá,fat6,핍
0,乖,平,皆,kweaj,L,guāi,gwaai1,괴
0,乘,平,蒸,zying,L,chéng,sing4,승
0,乙,入,質B,'it,E,yǐ,jyut3,을
0,九,上,有,kjuw,X,jǐu,gau2,구
0,乞,入,迄,khj+t,E,qǐ,hat1,걸
0,也,上,馬,yae,X,yě,jaa5,야
0,乳,上,麌,nyu,X,rǔ,jyu5,유
0,乾,平,寒,kan,L,gān,kin4,건
0,亁,平,寒,kan,L,gān,gon1,건
0,亂,去,換,lwan,H,luàn,lyun6,난
0,了,平,蕭,lew,L,le,liu5,요
0,予,平,魚,yo,L,yú,jyu4,여
0,争,平,耕,tsreang,L,zhēng,zang1,쟁
0,亊,去,志,tsri,H,shì,si6,사
0,事,去,志,tsri,H,shì,si6,사
0,二,去,至,nyij,H,èr,ji6,이
0,于,平,魚,'jo,L,yú,jyu1,우
0,云,平,文,hjun,L,yún,wan4,운
0,互,去,暮,hu,H,hù,wu6,호
0,五,上,姥,ngu,X,wǔ,ng5,오
0,井,上,靜,tsjeng,X,jǐng,zeng2,정
0,亘,去,嶝,kong,H,gèn,gang2,긍
0,亙,去,嶝,kong,H,gèn,gang2,긍
0,些,平,麻,sjae,L,xiē,se1,사
0,亞,去,禡,'ae,H,yà,aa3,아
0,亟,去,志,khi,H,jí,gik1,극
0,亡,平,陽,mjang,L,wáng,mong4,망
0,亢,平,唐,kang,L,kàng,kong3,항
0,交,平,肴,kaew,L,jiāo,gaau1,교
0,亥,上,海,hoj,X,hài,hoi6,해
0,亦,入,昔,yek,E,yì,jik6,역
0,亨,平,庚,xaeng,L,hēng,hang1,형
0,享,上,養,xjang,X,xiǎng,hoeng2,향
0,京,平,庚,kjaeng,L,jīng,ging1,경
0,亭,平,青,deng,L,tíng,ting4,정
0,亮,去,漾,ljang,H,liàng,loeng6,양
0,亳,入,鐸,bak,E,bó,bok3,박
0,亶,上,旱,tan,X,dǎn,taan2,단
0,亷,平,鹽,ljem,L,lián,lim4,염
0,亸,上,哿,ta,X,duǒ,do2,타
0,亹,平,魂,mwon,L,wěi,mei5,미
0,人,平,眞,nyin,L,rén,jan4,인
0,亾,平,陽,mjang,L,wáng,mou4,망
0,什,入,緝,dzyip,E,shí,sap6,십
0,仁,平,眞,nyin,L,rén,jan4,인
0,仃,平,青,deng,L,dīng,ding1,정
0,仄,入,職,tsrik,E,zè,zak1,측
0,仆,去,遇,phju,H,pū,fu6,부
0,仇,平,尤,dzyuw,L,chóu,sau4,구
0,今,平,侵B,kim,L,jīn,gam1,금
0,介,去,怪,keaj,H,jiè,gaai3,개
0,仍,平,蒸,nying,L,réng,jing4,잉
0,仔,平,之,tsi,L,zǐ,zai2,자
0,仕,上,止,dzri,X,shì,si6,사
0,他,平,歌,tha,L,tā,taa1,타
0,仗,上,養,drjang,X,zhàng,zoeng6,장
0,付,去,遇,pju,H,fù,fu6,부
0,仙,平,仙,sjen,L,xiān,sin1,선
0,仝,平,東,duwng,L,tóng,tung4,동
0,仞,去,震,nyin,H,rèn,jan6,인
0,代,去,代,doj,H,dài,doi6,대
0,令,平,仙,ljen,L,lìng,ling6,영
0,以,上,止,yi,X,yǐ,ji5,이
0,仭,去,震,nyin,H,rèn,jan6,인
0,仰,上,養,ngjang,X,yǎng,joeng5,앙
0,仲,去,送,drjuwng,H,zhòng,zung6,중
0,件,上,獮B,gjen,X,jiàn,gin6,건
0,任,平,侵,nyim,L,rèn,jam6,임
0,仿,平,唐,bang,L,fǎng,fong2,방
0,企,上,紙A,khjie,X,qǐ,kei5,기
0,伉,去,宕,khang,H,kàng,kong3,항
0,伊,平,脂A,'jij,L,yī,ji1,이
0,伋,入,緝B,kip,E,jí,kap1,급
0,伍,上,姥,ngu,X,wǔ,ng5,오
0,伎,平,支A,gjie,L,jì,gei6,기
0,伏,去,宥,bjuw,H,fú,fuk6,복
0,伐,入,月,bjot,E,fá,fat6,벌
0,休,平,尤,xjuw,L,xīu,jau1,휴
